Hansard document url,wā,title,section number,utterance number,ingoa kaikōrero,is Māori (%),kōrero waenga
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030212/volume-606-week-14-wednesday-12-february-2003,12-Feb-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 12 February 2003  ",18,2,Hon JOHN TAMIHERE (Minister of Youth Affairs),63.46153846153846,"I want to pause and pay a special mihi to one of the security officers who died tragically in an accident just before Parliament resumed. E tū te ārai kua whetūrangitia. Tēnei te mihi atu e te rangatira Sam. Moe mai, moe mai a moengaroa. He aroha ki a koutou mō te whānau pani. Kai te mihi, kai te mihi, kai te mihi nunui ki a koutou. Kia kaha, kia toa, kia manawa nui."
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030212/volume-606-week-14-wednesday-12-february-2003,12-Feb-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 12 February 2003  ",32,1,Hon DOVER SAMUELS (Associate Minister of Tourism),100.0,"Te mea tuatahi māku, kei te mihi atu ki a koe e te Kaiwhakahaere Tuarua o te Whare Pāremata mō tēnei tau hōu, kei te mihi atu ki a koe. Kei te mihi hoki ki ngā mema katoa o tēnei Whare Pāremata, ā, me tēnei Whare tupuna o tātou. I tēnei rā kei te mihi whānui atu ki a
 koutou katoa, tēna koutou, ā, tēna koutou katoa. Kei te tū tonu tēnei ki te tautoko I ngā kaupapa i pānuitia ai e te Peremia i nanahi nei, ngā kaupapa whakahaere mō te ao whānui, mō to motu o Aotearoa."
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030212/volume-606-week-14-wednesday-12-february-2003,12-Feb-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 12 February 2003  ",34,1,PITA PARAONE (NZ First),100.0,"Tēnā koe e te Kaiwhakawā, koutou hoki ngā mema o te Whare nei."
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030212/volume-606-week-14-wednesday-12-february-2003,12-Feb-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 12 February 2003  ",42,1,DAVE HEREORA (NZ Labour),100.0,"E tū ahau ki te mihi ki a tātou, nō reira tēnā koutou."
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030213/volume-606-week-14-thursday-13-february-2003,13-Feb-2003  ,"Parliamentary Debates (Hansard) for Thursday, 13 February 2003  ",5,113,Hon TREVOR MALLARD (Minister of Education),100.0,No.
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030213/volume-606-week-14-thursday-13-february-2003,13-Feb-2003  ,"Parliamentary Debates (Hansard) for Thursday, 13 February 2003  ",7,13,Hon Ken Shirley,100.0,No.
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030213/volume-606-week-14-thursday-13-february-2003,13-Feb-2003  ,"Parliamentary Debates (Hansard) for Thursday, 13 February 2003  ",7,20,Hon TREVOR MALLARD,100.0,No.
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030213/volume-606-week-14-thursday-13-february-2003,13-Feb-2003  ,"Parliamentary Debates (Hansard) for Thursday, 13 February 2003  ",21,1,MAHARA OKEROA (NZ Labour—Te Tai Tonga),100.0,"Ko tōku nei tū tuatahi, he mihi aroha atu ki a rātou rā e piupiu ai te rau o te kawakawa, mai i te wā e whaka kapi mai tēnei pouwhare o te motu nei, tae noa mai ki te whakatūwhera anō i tēnei wā i roto, i runga i ngā rā e rua."
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030218/volume-606-week-15-tuesday-18-february-2003,18-Feb-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 18 February 2003  ",18,42,Hon Judith Tizard,100.0,"Ha, ha!"
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030218/volume-606-week-15-tuesday-18-february-2003,18-Feb-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 18 February 2003  ",19,14,Darren Hughes,100.0,Name one!
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030218/volume-606-week-15-tuesday-18-february-2003,18-Feb-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 18 February 2003  ",20,50,R Doug Woolerton,100.0,Do we?
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030219/volume-606-week-15-wednesday-19-february-2003,19-Feb-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 19 February 2003  ",5,51,Hon JIM ANDERTON,100.0,No.
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030219/volume-606-week-15-wednesday-19-february-2003,19-Feb-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 19 February 2003  ",5,163,Hon RUTH DYSON,100.0,No.
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030219/volume-606-week-15-wednesday-19-february-2003,19-Feb-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 19 February 2003  ",10,2,Rt Hon Winston Peters,66.66666666666666,She was here.
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030220/volume-606-week-15-thursday-20-february-2003,20-Feb-2003  ,"Parliamentary Debates (Hansard) for Thursday, 20 February 2003  ",5,133,Hon STEVE MAHAREY,100.0,No.
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030220/volume-606-week-15-thursday-20-february-2003,20-Feb-2003  ,"Parliamentary Debates (Hansard) for Thursday, 20 February 2003  ",5,193,"Hon PETER DUNNE (Chairperson of the Foreign Affairs, Defence and Trade Committee):",100.0,No.
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030220/volume-606-week-15-thursday-20-february-2003,20-Feb-2003  ,"Parliamentary Debates (Hansard) for Thursday, 20 February 2003  ",9,71,Rodney Hide,100.0,No.
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030225/volume-606-week-16-tuesday-25-february-2003,25-Feb-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 25 February 2003  ",4,2,Rt Hon HELEN CLARK (Prime Minister),100.0,No.
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030225/volume-606-week-16-tuesday-25-february-2003,25-Feb-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 25 February 2003  ",4,56,Hon MARGARET WILSON (Associate Minister of Justice),100.0,No.
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030225/volume-606-week-16-tuesday-25-february-2003,25-Feb-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 25 February 2003  ",10,3,Darren Hughes,100.0,"Ha, ha!"
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030225/volume-606-week-16-tuesday-25-february-2003,25-Feb-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 25 February 2003  ",10,222,Hon Member,100.0,Who?
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030226/volume-606-week-16-wednesday-26-february-2003,26-Feb-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 26 February 2003  ",2,202,Hon JOHN TAMIHERE,60.0,There are a number of—
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030226/volume-606-week-16-wednesday-26-february-2003,26-Feb-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 26 February 2003  ",9,17,Rt Hon Winston Peters,100.0,"No, no."
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030226/volume-606-week-16-wednesday-26-february-2003,26-Feb-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 26 February 2003  ",20,52,Hon Richard Prebble,100.0,No.
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030226/volume-606-week-16-wednesday-26-february-2003,26-Feb-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 26 February 2003  ",20,64,Rodney Hide,100.0,No.
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030226/volume-606-week-16-wednesday-26-february-2003,26-Feb-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 26 February 2003  ",20,107,Hon Richard Prebble,60.0,We take exception to them.
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030227/volume-606-week-16-thursday-27-february-2003,27-Feb-2003  ,"Parliamentary Debates (Hansard) for Thursday, 27 February 2003  ",11,77,Lindsay Tisch,100.0,"Ha, ha!"
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030304/volume-606-week-17-tuesday-4-march-2003,04-Mar-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 4 March 2003  ",3,168,Hon JOHN TAMIHERE,100.0,No.
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030304/volume-606-week-17-tuesday-4-march-2003,04-Mar-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 4 March 2003  ",10,57,LINDSAY TISCH,66.66666666666666,The other area—
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030305/volume-606-week-17-wednesday-5-march-2003,05-Mar-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 5 March 2003  ",5,28,Hon Dr MICHAEL CULLEN (Minister of Finance),66.66666666666666,"No, and no."
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030305/volume-606-week-17-wednesday-5-march-2003,05-Mar-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 5 March 2003  ",5,86,Rt Hon Winston Peters,100.0,No.
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030305/volume-606-week-17-wednesday-5-march-2003,05-Mar-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 5 March 2003  ",5,136,Mr SPEAKER,100.0,No.
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030305/volume-606-week-17-wednesday-5-march-2003,05-Mar-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 5 March 2003  ",9,18,David Cunliffe,100.0,"Ha, ha!"
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030305/volume-606-week-17-wednesday-5-march-2003,05-Mar-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 5 March 2003  ",10,2,Darren Hughes,60.0,Who’s gone to Waiheke?
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030305/volume-606-week-17-wednesday-5-march-2003,05-Mar-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 5 March 2003  ",14,12,Hon JIM ANDERTON,66.66666666666666,: Here we go.
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030305/volume-606-week-17-wednesday-5-march-2003,05-Mar-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 5 March 2003  ",18,37,Judith Collins,100.0,Name one.
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030306/volume-606-week-17-thursday-6-march-2003,06-Mar-2003  ,"Parliamentary Debates (Hansard) for Thursday, 6 March 2003  ",7,154,Hon Tony Ryall,100.0,No!
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030306/volume-606-week-17-thursday-6-march-2003,06-Mar-2003  ,"Parliamentary Debates (Hansard) for Thursday, 6 March 2003  ",8,39,Hon Damien O'Connor,100.0,"Ha, ha!"
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030306/volume-606-week-17-thursday-6-march-2003,06-Mar-2003  ,"Parliamentary Debates (Hansard) for Thursday, 6 March 2003  ",9,8,The CHAIRPERSON (H V Ross Robertson),100.0,No.
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030318/volume-607-week-18-tuesday-18-march-2003,18-Mar-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 18 March 2003  ",24,98,Hon JOHN TAMIHERE,100.0,No.
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030318/volume-607-week-18-tuesday-18-march-2003,18-Mar-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 18 March 2003  ",29,10,Hon Brian Donnelly,100.0,"Ha, ha!"
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030318/volume-607-week-18-tuesday-18-march-2003,18-Mar-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 18 March 2003  ",35,1,PITA PARAONE (NZ First),92.3076923076923,Ngā mihi ki a koe; ka mihi ki a koutou ngā mema o te Whare nei.
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030318/volume-607-week-18-tuesday-18-march-2003,18-Mar-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 18 March 2003  ",51,19,Hon Steve Maharey,100.0,Who?
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030319/volume-607-week-18-wednesday-19-march-2003,19-Mar-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 19 March 2003  ",2,181,Hon LIANNE DALZIEL,100.0,No.
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030319/volume-607-week-18-wednesday-19-march-2003,19-Mar-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 19 March 2003  ",11,5,Hon Trevor Mallard,100.0,Who?
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030319/volume-607-week-18-wednesday-19-march-2003,19-Mar-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 19 March 2003  ",20,58,Brian Connell,100.0,Who?
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030319/volume-607-week-18-wednesday-19-march-2003,19-Mar-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 19 March 2003  ",20,103,Jill Pettis,66.66666666666666,There are thousands here.
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030319/volume-607-week-18-wednesday-19-march-2003,19-Mar-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 19 March 2003  ",20,116,Rodney Hide,66.66666666666666,The Ngāi Tahu.
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030319/volume-607-week-18-wednesday-19-march-2003,19-Mar-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 19 March 2003  ",20,121,Opposition Members,100.0,No!
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030319/volume-607-week-18-wednesday-19-march-2003,19-Mar-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 19 March 2003  ",20,123,Rodney Hide,100.0,No.
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030319/volume-607-week-18-wednesday-19-march-2003,19-Mar-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 19 March 2003  ",20,127,Rodney Hide,100.0,No.
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030320/volume-607-week-18-thursday-20-march-2003,20-Mar-2003  ,"Parliamentary Debates (Hansard) for Thursday, 20 March 2003  ",4,10,Hon Richard Prebble,100.0,No.
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030320/volume-607-week-18-thursday-20-march-2003,20-Mar-2003  ,"Parliamentary Debates (Hansard) for Thursday, 20 March 2003  ",5,66,Hon PAREKURA HOROMIA,100.0,No.
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030325/volume-607-week-19-tuesday-25-march-2003,25-Mar-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 25 March 2003  ",1,177,Hon Dr MICHAEL CULLEN (Deputy Prime Minister),100.0,No.
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030325/volume-607-week-19-tuesday-25-march-2003,25-Mar-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 25 March 2003  ",6,1,METIRIA TUREI (Green),60.0,The Greens are pleased to—
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030325/volume-607-week-19-tuesday-25-march-2003,25-Mar-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 25 March 2003  ",6,7,Mr SPEAKER,100.0,No.
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030325/volume-607-week-19-tuesday-25-march-2003,25-Mar-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 25 March 2003  ",11,63,David Benson-Pope,60.0,"You have a meeting, too."
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030325/volume-607-week-19-tuesday-25-march-2003,25-Mar-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 25 March 2003  ",15,80,Hon Richard Prebble,100.0,Name one.
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030326/volume-607-week-19-wednesday-26-march-2003,26-Mar-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 26 March 2003  ",3,131,Rod Donald,66.66666666666666,": No, and no."
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030326/volume-607-week-19-wednesday-26-march-2003,26-Mar-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 26 March 2003  ",3,192,"Hon PETER DUNNE (Chairperson of the Foreign Affairs, Defence and Trade Committee):",100.0,No.
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030326/volume-607-week-19-wednesday-26-march-2003,26-Mar-2003  ,"Parliamentary Debates (Hansard) for Wednesday, 26 March 2003  ",8,15,Hon John Tamihere,100.0,"Ha, ha!"
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030401/volume-607-week-20-tuesday-1-april-2003,01-Apr-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 1 April 2003  ",5,122,Hon Richard Prebble,100.0,No.
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030401/volume-607-week-20-tuesday-1-april-2003,01-Apr-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 1 April 2003  ",10,58,Hon Richard Prebble,66.66666666666666,We are waiting!
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030402/volume-607-week-20-tuesday-1-april-2003-continued-on,01-Apr-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 1 April 2003(continued on
 Wednesday, 2 April 2003)  ",5,20,BARBARA STEWART (NZ First),100.0,": Ha, ha!"
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030402/volume-607-week-20-tuesday-1-april-2003-continued-on,01-Apr-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 1 April 2003(continued on
 Wednesday, 2 April 2003)  ",10,55,David Parker,100.0,No.
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030402/volume-607-week-20-tuesday-1-april-2003-continued-on,01-Apr-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 1 April 2003(continued on
 Wednesday, 2 April 2003)  ",13,27,BILL GUDGEON (NZ),96.29629629629629,"Kia ora anō tātou i huihui mai nei i roto i tēnei Whare i tēnei pō. Ki ō tatou manuhiri, ki ngā rangatira o Ngāti Ruanui, nau mai, haere mai. Tēnā koutou, tēnā koutou, tēnā koutou katoa."
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030402/volume-607-week-20-tuesday-1-april-2003-continued-on,01-Apr-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 1 April 2003(continued on
 Wednesday, 2 April 2003)  ",13,35,BILL GUDGEON (NZ),66.66666666666666,[You are laughing.]
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030402/volume-607-week-20-tuesday-1-april-2003-continued-on,01-Apr-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 1 April 2003(continued on
 Wednesday, 2 April 2003)  ",13,37,MAHARA OKEROA (NZ Labour—Te Tai Tonga),100.0,"Ā, tēnā koutou e kui me te rōpū e haere maomao mai, mai raro i tā tāua nei maunga a Taranaki me te tihi o taua maunga. Uhia mai te tīpare rau kawakawa hei tohu nō te mate ki a rātou kua uhia mai i te korowai aroha i a rātou tīmata ai ō rātou nei hīkoi ki te mātātoru, te iti me te rahi, tēnā koutou. Tēnā koutou ō koutou nei maia ki te haramai ki te rongo atu i ngā kōrero kua whakahūātia kei roto i tēnei pouwhare. Kua rongo hoki koutou, kei te tautoko, tino tautoko mai te nuinga o mātou i te tikanga o tēnei pire. Nā, ka maumahara au i tētehi o ngā whakatauākītanga kōrero e whakaputa mai i ō tātou nei poropiti a Te Whiti ki te iwi i a rātou e noho i runga i te marae o Parihaka. Ka mētia e te poropiti ki a rātou ngā rōpū, “E te iwi ka riri mai te hau ki a mātou, ka piko. Ka mutu te riri e te hau ki a mātou, ka tū anō.” Nā, kua tae te wā. Ka tū mana anō koutou, mātou te katoa o ngā iwi o Taranaki i tēnei wā. Kia whakatūtuki pea i ngā auwētanga, i te haehae o te whatumanawa o rātou rā ngā tau heke, ā, kua ngaro ai te katoa. Me kī, me rātou rā e mauherere ai kei roto i ngā āna kei Te Waipounamu. A rātou rā kua mate ai, kua tanumia ai kei te whenua o Te Waipounamu. Nō reira, tēnā tātou."
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030402/volume-607-week-20-tuesday-1-april-2003-continued-on,01-Apr-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 1 April 2003(continued on
 Wednesday, 2 April 2003)  ",13,46,MAHARA OKEROA (NZ Labour—Te Tai Tonga),56.00000000000001,"In answer to the pātai from the honourable member from New Zealand First, I say there are seats for everyone to participate in the structure after the claim. It is there,
 he tūru mō ngā hapū, iwi katoa a Ngāti Ruanui Tangahoe me Takakohe. Kua kite ai te hiahiatanga kei roto o te wairua o rātou, kua waiho kotahi."
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030402/volume-607-week-20-tuesday-1-april-2003-continued-on,01-Apr-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 1 April 2003(continued on
 Wednesday, 2 April 2003)  ",13,50,METIRIA TUREI (Green),93.75,"Kia ora koutou katoa. He mihi nui he mihi aroha ki a Ngāti Ruanui, Tangahoe, me Pakakohi."
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030402/volume-607-week-20-tuesday-1-april-2003-continued-on,01-Apr-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 1 April 2003(continued on
 Wednesday, 2 April 2003)  ",13,64,MITA RIRINUI (NZ Labour—Waiāriki):,100.0,"Kāti, kia ora hui hui tātou. Taranaki maunga, Taranaki tangata, nau mai, hara mai, tēnā koutou. Tēnā koutou i ngā āhuatanga e pā ana ki tō kōtou hara mai rā i te nuku o te whenua i tēnei rā whakahirahira. Hei mātakitaki , hei tirotiro ki ngā āhuatanga e pā ana ki tā kōtou pire, nāna nei kua tae atu ki tōna mutunga. Nō reira, tēnā koutou, tēnā koutou, tēnā koutou. Tēnā hoki koutou i ngā āhuatanga kei runga kei a koutou, ngā aituā maha, rātau kāre e tae-ā-tinana mai ana. Otirā, e tū poto noa iho tēnei ki te tautoko i ngā mahi e mahi ana i tō tātou Minita, a Mākareta te Wirihana, ā, me tō tātou Komiti Motuhake mō ngā Take Māori, me te heamana hoki, tā koutou tangata a Mahara Okoroa, ahakoa kei Pōneke e noho ana, kei a koutou tōna ngākau. Nō reira tēnā koutou, tēnā koutou, tēnāhoki tātau."
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030402/volume-607-week-20-tuesday-1-april-2003-continued-on,01-Apr-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 1 April 2003(continued on
 Wednesday, 2 April 2003)  ",13,67,MITA RIRINUI (NZ Labour—Waiāriki):,64.51612903225806,"I also acknowledge here in the House today representatives of Ngāti Ruanui. As I said: ā, Taranaki tangata, Taranaki maunga ahakoa he maunga titōhea, ka rere ngā manu ki reira unu ai, e kore e mimiti."
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030402/volume-607-week-20-tuesday-1-april-2003-continued-on,01-Apr-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 1 April 2003(continued on
 Wednesday, 2 April 2003)  ",14,64,The CHAIRPERSON (H V Ross Robertson),100.0,No.
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030402/volume-607-week-20-tuesday-1-april-2003-continued-on,01-Apr-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 1 April 2003(continued on
 Wednesday, 2 April 2003)  ",14,109,Hon David Carter,100.0,Name one.
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030402/volume-607-week-20-tuesday-1-april-2003-continued-on,01-Apr-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 1 April 2003(continued on
 Wednesday, 2 April 2003)  ",14,136,Clayton Cosgrove,100.0,We’re OK!
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/47HansD_20030403/volume-607-week-20-tuesday-1-april-2003-continued-on,01-Apr-2003  ,"Parliamentary Debates (Hansard) for Tuesday, 1 April 2003(continued on
 Thursday, 3 April 2003)  ",1,118,Murray Smith,100.0,No.
